指标名称,Mysteel冶金焦国产价格指数：湿熄：现货价格指数：中国（日）
指标编码,ID00187989
2023-09-18 00:00:00,2080.5
2023-09-15 00:00:00,2080.3
2023-09-14 00:00:00,2080.3
2023-09-13 00:00:00,2080.3
2023-09-12 00:00:00,2080.3
2023-09-11 00:00:00,2080.3
2023-09-08 00:00:00,2080.3
2023-09-07 00:00:00,2080.3
2023-09-06 00:00:00,2080.3
2023-09-05 00:00:00,2080.3
2023-09-04 00:00:00,2080.3
2023-09-01 00:00:00,2080.3
2023-08-31 00:00:00,2080.8
2023-08-30 00:00:00,2080.8
2023-08-29 00:00:00,2080.8
2023-08-28 00:00:00,2080.8
2023-08-25 00:00:00,2080.8
2023-08-24 00:00:00,2080.8
2023-08-23 00:00:00,2080.8
2023-08-22 00:00:00,2087.9
2023-08-21 00:00:00,2177.5
2023-08-18 00:00:00,2177.5
2023-08-17 00:00:00,2177.5
2023-08-16 00:00:00,2177.5
2023-08-15 00:00:00,2177.5
2023-08-14 00:00:00,2177.5
2023-08-11 00:00:00,2177.5
2023-08-10 00:00:00,2177.5
2023-08-09 00:00:00,2177.5
2023-08-08 00:00:00,2177.5
2023-08-07 00:00:00,2177.5
2023-08-04 00:00:00,2177.5
2023-08-03 00:00:00,2177.5
2023-08-02 00:00:00,2077.8
2023-08-01 00:00:00,2077.8
2023-07-31 00:00:00,2075.0
2023-07-28 00:00:00,2075.0
2023-07-27 00:00:00,1981.8
2023-07-26 00:00:00,1978.9
2023-07-25 00:00:00,1978.5
2023-07-24 00:00:00,1978.5
2023-07-21 00:00:00,1978.5
2023-07-20 00:00:00,1978.5
2023-07-19 00:00:00,1978.2
2023-07-18 00:00:00,1978.2
2023-07-17 00:00:00,1930.1
2023-07-14 00:00:00,1930.1
2023-07-13 00:00:00,1930.3
2023-07-12 00:00:00,1931.4
2023-07-11 00:00:00,1931.4
2023-07-10 00:00:00,1931.4
2023-07-07 00:00:00,1928.2
2023-07-06 00:00:00,1887.0
2023-07-05 00:00:00,1886.6
2023-07-04 00:00:00,1886.6
2023-07-03 00:00:00,1888.1
2023-06-30 00:00:00,1888.1
2023-06-29 00:00:00,1888.1
2023-06-28 00:00:00,1888.1
2023-06-27 00:00:00,1888.1
2023-06-26 00:00:00,1888.1
2023-06-25 00:00:00,1888.1
2023-06-21 00:00:00,1888.1
2023-06-20 00:00:00,1889.2
2023-06-19 00:00:00,1889.2
2023-06-16 00:00:00,1889.2
2023-06-15 00:00:00,1889.2
2023-06-14 00:00:00,1889.3
2023-06-13 00:00:00,1889.3
2023-06-12 00:00:00,1889.3
2023-06-09 00:00:00,1889.3
2023-06-08 00:00:00,1889.3
2023-06-07 00:00:00,1889.9
2023-06-06 00:00:00,1889.9
2023-06-05 00:00:00,1889.9
2023-06-02 00:00:00,1890.3
2023-06-01 00:00:00,1891.5
2023-05-31 00:00:00,1963.9
2023-05-30 00:00:00,1963.9
2023-05-29 00:00:00,1963.9
2023-05-26 00:00:00,1964.0
2023-05-25 00:00:00,2012.9
2023-05-24 00:00:00,2013.0
2023-05-23 00:00:00,2013.0
2023-05-22 00:00:00,2013.9
2023-05-19 00:00:00,2013.9
2023-05-18 00:00:00,2020.1
2023-05-17 00:00:00,2064.3
2023-05-16 00:00:00,2064.3
2023-05-15 00:00:00,2064.3
2023-05-12 00:00:00,2064.3
2023-05-11 00:00:00,2064.3
2023-05-10 00:00:00,2064.3
2023-05-09 00:00:00,2156.7
2023-05-08 00:00:00,2156.7
2023-05-06 00:00:00,2156.7
2023-05-05 00:00:00,2156.7
2023-05-04 00:00:00,2258.2
2023-04-28 00:00:00,2287.4
2023-04-27 00:00:00,2364.8
2023-04-26 00:00:00,2364.8
2023-04-25 00:00:00,2364.9
2023-04-24 00:00:00,2364.9
2023-04-23 00:00:00,2365.9
2023-04-21 00:00:00,2385.5
2023-04-20 00:00:00,2459.1
2023-04-19 00:00:00,2459.1
2023-04-18 00:00:00,2459.4
2023-04-17 00:00:00,2460.1
